# TODO: this is ps -ef output on your k40
# TODO: interpret what's going on

UID             PID   PPID C STIME TTY          TIME CMD
root            228      2 0 22:41:36 ?     00:00:00 [WCNSS_CNTL]
root            229      2 0 22:41:36 ?     00:00:00 [WCNSS_DATA]
root            230      2 0 22:41:36 ?     00:00:00 [WCNSS_CMD]
root            231      2 0 22:41:36 ?     00:00:00 [WCNSS_DCI]
root            232      2 0 22:41:36 ?     00:00:00 [WCNSS_DCI_CMD]
root            233      2 0 22:41:36 ?     00:00:00 [SENSORS_CNTL]
root            234      2 0 22:41:36 ?     00:00:00 [SENSORS_DATA]
root            235      2 0 22:41:36 ?     00:00:00 [SENSORS_CMD]
root            236      2 0 22:41:36 ?     00:00:00 [SENSORS_DCI]
root            237      2 0 22:41:36 ?     00:00:00 [SENSORS_DCI_CMD]
root            238      2 0 22:41:36 ?     00:00:00 [DIAG_CTRL]
root            239      2 0 22:41:36 ?     00:00:00 [DIAG_DATA]
root            240      2 0 22:41:36 ?     00:00:00 [DIAG_CMD]
root            241      2 0 22:41:36 ?     00:00:00 [DIAG_DCI_DATA]
root            242      2 0 22:41:36 ?     00:00:00 [DIAG_DCI_CMD]
root            243      2 0 22:41:36 ?     00:00:00 [CDSP_CNTL]
root            244      2 0 22:41:36 ?     00:00:00 [CDSP_DATA]
root            245      2 0 22:41:36 ?     00:00:00 [CDSP_CMD]
root            246      2 0 22:41:36 ?     00:00:00 [CDSP_DCI]
root            247      2 0 22:41:36 ?     00:00:00 [CDSP_DCI_CMD]
root            248      2 0 22:41:36 ?     00:00:00 [NPU_CNTL]
root            249      2 0 22:41:36 ?     00:00:00 [NPU_DATA]
root            250      2 0 22:41:36 ?     00:00:00 [NPU_CMD]
root            251      2 0 22:41:36 ?     00:00:00 [NPU_DCI]
root            252      2 0 22:41:36 ?     00:00:00 [NPU_DCI_CMD]
root            253      2 0 22:41:36 ?     00:00:00 [DIAG_RPMSG_DIAG]
root            254      2 0 22:41:36 ?     00:00:00 [DIAG_RPMSG_DIAG]
root            255      2 0 22:41:36 ?     00:00:00 [DIAG_RPMSG_DIAG]
root            256      2 0 22:41:36 ?     00:00:00 [DIAG_RPMSG_DIAG]
root            257      2 0 22:41:36 ?     00:00:00 [DIAG_RPMSG_DIAG]
root            259      2 0 22:41:36 ?     00:00:00 [diag_mhi_MDM]
root            261      2 0 22:41:36 ?     00:00:00 [DIAG_USB_diag_m]
root            263      2 0 22:41:36 ?     00:00:00 [diag_mhi_MDM_DC]
root            265      2 0 22:41:36 ?     00:00:00 [diag_dci_MDM_DC]
root            267      2 0 22:41:36 ?     00:00:00 [diag_mhi_MDM_2]
root            269      2 0 22:41:36 ?     00:00:00 [DIAG_USB_diag_m]
root            270      2 0 22:41:36 ?     00:00:00 [diag_mhi_MDM_DC]
root            271      2 0 22:41:36 ?     00:00:00 [diag_dci_MDM_DC]
root            272      2 0 22:41:36 ?     00:00:00 [kgsl-workqueue]
root            273      2 0 22:41:36 ?     00:00:00 [kgsl-mementry]
root            274      2 0 22:41:36 ?     00:00:00 [kgsl_worker_thr]
root            275      2 0 22:41:36 ?     00:00:00 [qseecom-unreg-l]
root            276      2 0 22:41:36 ?     00:00:00 [qseecom-unload-]
root            277      2 0 22:41:36 ?     00:00:00 [kworker/u16:8-kgsl-mementry]
root            278      2 0 22:41:36 ?     00:00:00 [irq/245-arm-smm]
root            279      2 0 22:41:36 ?     00:00:00 [irq/246-arm-smm]
root            280      2 0 22:41:36 ?     00:00:00 [irq/247-arm-smm]
root            281      2 0 22:41:36 ?     00:00:00 [qcrypto_seq_res]
root            282      2 0 22:41:36 ?     00:00:00 [irq/248-arm-smm]
root            303      2 0 22:41:36 ?     00:00:00 [scsi_eh_0]
root            304      2 0 22:41:36 ?     00:00:00 [scsi_tmf_0]
root            305      2 0 22:41:36 ?     00:00:00 [ufs_pm_qos_0]
root            306      2 0 22:41:36 ?     00:00:00 [ufs_recovery_wq]
